date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:14:53	148666/148666	---MCZ	200	added ('OK')	text/html	etag:W/%22244ba-YwkVXlQEjOKXi+f8tneEgtnqFVk%22	https://www.icmarkets.com/global/en/	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/global/en/index.html	(from )
21:14:53	33/33	---M--	302	error ('Moved%20Temporarily')	text/plain	date:Tue,%2007%20Dec%202021%2021:09:54%20GMT	https://www.icmarkets.com/robots.txt		(from )
21:14:54	88250/88250	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2010%20Nov%202021%2013:27:46%20GMT	https://polyfill.io/v3/polyfill.min.js?features=es5%2Ces6%2Ces7	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/polyfill.io/v3/polyfill.minb43c.js	(from https://www.icmarkets.com/global/en/)
21:14:55	137076/137076	---MCZ	200	added ('OK')	text/css	etag:W/%2221774-17d7f48e70b%22	https://www.icmarkets.com/css/bootstrap-icm-build.css?0b69b3609276cb066646844183fbda53	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/css/bootstrap-icm-build84a7.css	(from https://www.icmarkets.com/global/en/)
21:14:55	285225/285225	---MCZ	200	added ('OK')	text/css	etag:W/%2245a29-17d7f48ea37%22	https://www.icmarkets.com/css/style.css?802efa20b85f3a44d1f4177f992f5d42	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/css/styleee15.css	(from https://www.icmarkets.com/global/en/)
21:14:55	95775/95775	---MCZ	200	added ('OK')	text/css	etag:W/%221761f-17d7f48e69b%22	https://www.icmarkets.com/css/navigation.css?ec52b5050ec094bbc7e53a7dbf63b201	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/css/navigation2f87.css	(from https://www.icmarkets.com/global/en/)
21:14:55	239/239	---M--	200	added ('OK')	text/css	etag:W/%22ef-17d7f48e673%22	https://www.icmarkets.com/css/mask.css?ffeef86fa8ad98f5047a9485da304e1f	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/css/maske442.css	(from https://www.icmarkets.com/global/en/)
21:14:56	37596/37596	---MCZ	200	added ('OK')	text/css	etag:W/%2292dc-17d7f455918%22	https://www.icmarkets.com/home/css/static-home.css?e482e65a5d11b154c34bd76b3d619ab2	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/home/css/static-home577d.css	(from https://www.icmarkets.com/global/en/)
21:14:57	76382/76382	---M-Z	200	added ('OK')	application/javascript	etag:%22bc6637cc9817ae3ea665472cabc630fd%22	http://cdn.taboola.com/libtrc/unip/1231667/tfa.js	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/cdn.taboola.com/libtrc/unip/1231667/tfa.js	(from https://www.icmarkets.com/global/en/)
21:14:57	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-1538f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://www.icmarkets.com/global/en/)
